"City / Municipality","Transmission Status"
"BANAYBANAY, DAVAO ORIENTAL","FULL TRANSMISSION"
"BANAYOYO, ILOCOS SUR","FULL TRANSMISSION"
"BANGA, AKLAN","FULL TRANSMISSION"
"BANGA, SOUTH COTABATO","FULL TRANSMISSION"
"BANGAR, LA UNION","FULL TRANSMISSION"
"BANGUED, ABRA","FULL TRANSMISSION"
"BANGUI, ILOCOS NORTE","FULL TRANSMISSION"
"BANI, PANGASINAN","FULL TRANSMISSION"
"BANISILAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"BANNA (ESPIRITU), ILOCOS NORTE","FULL TRANSMISSION"
"BANSALAN, DAVAO DEL SUR","FULL TRANSMISSION"
"BANSUD, ORIENTAL MINDORO","PARTIAL TRANSMISSION"
"BANTAY, ILOCOS SUR","FULL TRANSMISSION"
"BANTAYAN, CEBU","PARTIAL TRANSMISSION"
"BANTON, ROMBLON","FULL TRANSMISSION"
"BARAS, CATANDUANES","FULL TRANSMISSION"
"BARAS, RIZAL","FULL TRANSMISSION"
"BARBAZA, ANTIQUE","FULL TRANSMISSION"
"BARCELONA, SORSOGON","FULL TRANSMISSION"
"BARILI, CEBU","FULL TRANSMISSION"
"BARIRA, MAGUINDANAO","FULL TRANSMISSION"
"BARLIG, MOUNTAIN PROVINCE","PARTIAL TRANSMISSION"
"BAROBO, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"BAROTAC NUEVO, ILOILO","FULL TRANSMISSION"
"BAROTAC VIEJO, ILOILO","PARTIAL TRANSMISSION"
"BAROY, LANAO DEL NORTE","FULL TRANSMISSION"
"BARUGO, LEYTE","FULL TRANSMISSION"
"BASAY, NEGROS ORIENTAL","FULL TRANSMISSION"
"BASCO, BATANES","FULL TRANSMISSION"
"BASEY, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"BASILISA (RIZAL), DINAGAT ISLANDS","FULL TRANSMISSION"
"BASISTA, PANGASINAN","FULL TRANSMISSION"
"BASUD, CAMARINES NORTE","FULL TRANSMISSION"
"BATAC CITY, ILOCOS NORTE","FULL TRANSMISSION"
"BATAD, ILOILO","FULL TRANSMISSION"
"BATAN, AKLAN","PARTIAL TRANSMISSION"
"BATANGAS CITY, BATANGAS","FULL TRANSMISSION"
"BATARAZA, PALAWAN","FULL TRANSMISSION"
"BATO, CAMARINES SUR","FULL TRANSMISSION"
"BATO, CATANDUANES","FULL TRANSMISSION"
"BATO, LEYTE","FULL TRANSMISSION"
"BATUAN, BOHOL","FULL TRANSMISSION"
"BATUAN, MASBATE","PARTIAL TRANSMISSION"
"BAUAN, BATANGAS","FULL TRANSMISSION"
"BAUANG, LA UNION","FULL TRANSMISSION"
"BAUKO, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"BAUNGON, BUKIDNON","FULL TRANSMISSION"
"BAUTISTA, PANGASINAN","FULL TRANSMISSION"
"BAY, LAGUNA","FULL TRANSMISSION"
"BAYABAS, SURIGAO DEL SUR","FULL TRANSMISSION"
"BAYAMBANG, PANGASINAN","FULL TRANSMISSION"
"BAYANG, LANAO DEL SUR","PARTIAL TRANSMISSION"
"BAYAWAN CITY (TULONG), NEGROS ORIENTAL","FULL TRANSMISSION"
"BAYBAY CITY, LEYTE","FULL TRANSMISSION"
"BAYOG, ZAMBOANGA DEL SUR","PARTIAL TRANSMISSION"
"BAYOMBONG, NUEVA VIZCAYA","FULL TRANSMISSION"
"BAYUGAN  CITY, AGUSAN DEL SUR","FULL TRANSMISSION"
"BELISON, ANTIQUE","FULL TRANSMISSION"
"BENITO SOLIVEN, ISABELA","FULL TRANSMISSION"
"BESAO, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"BIEN UNIDO, BOHOL","FULL TRANSMISSION"
"BILAR, BOHOL","FULL TRANSMISSION"
"BILIRAN, BILIRAN","FULL TRANSMISSION"
"BINALBAGAN, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"BINALONAN, PANGASINAN","FULL TRANSMISSION"
"BINANGONAN, RIZAL","FULL TRANSMISSION"
"BINDOY (PAYABON), NEGROS ORIENTAL","FULL TRANSMISSION"
"BINGAWAN, ILOILO","FULL TRANSMISSION"
"BINIDAYAN, LANAO DEL SUR","FULL TRANSMISSION"
"BINMALEY, PANGASINAN","FULL TRANSMISSION"
"BINONDO, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"BINUANGAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"BIRI, NORTHERN SAMAR","FULL TRANSMISSION"
"BISLIG CITY, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"BOAC, MARINDUQUE","FULL TRANSMISSION"
"BOBON, NORTHERN SAMAR","FULL TRANSMISSION"
"BOCAUE, BULACAN","FULL TRANSMISSION"
"BOGO CITY, CEBU","FULL TRANSMISSION"
"BOKOD, BENGUET","FULL TRANSMISSION"
"BOLINAO, PANGASINAN","FULL TRANSMISSION"
"BOLINEY, ABRA","PARTIAL TRANSMISSION"
"BOLJOON, CEBU","PARTIAL TRANSMISSION"
"BOMBON, CAMARINES SUR","FULL TRANSMISSION"
"BONGABON, NUEVA ECIJA","FULL TRANSMISSION"
"BONGABONG, ORIENTAL MINDORO","FULL TRANSMISSION"
"BONGAO, TAWI-TAWI","FULL TRANSMISSION"
"BONIFACIO, MISAMIS OCCIDENTAL","PARTIAL TRANSMISSION"
"BONTOC, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"BONTOC, SOUTHERN LEYTE","FULL TRANSMISSION"
"BORBON, CEBU","PARTIAL TRANSMISSION"
"BORONGAN CITY, EASTERN SAMAR","PARTIAL TRANSMISSION"
"BOSTON, DAVAO ORIENTAL","FULL TRANSMISSION"
"BOTOLAN, ZAMBALES","FULL TRANSMISSION"
"BRAULIO E. DUJALI, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"BRAZIL, NORTH AND LATIN AMERICA","NO TRANSMISSION"
"BROOKE'S POINT, PALAWAN","PARTIAL TRANSMISSION"
"BRUNEI DARUSSALAM, ASIA","NO TRANSMISSION"
"BRUSSELS PE, EUROPE","NO TRANSMISSION"
"BUADIPOSO-BUNTONG, LANAO DEL SUR","FULL TRANSMISSION"
"BUBONG, LANAO DEL SUR","PARTIAL TRANSMISSION"
"BUCAY, ABRA","FULL TRANSMISSION"
"BUCLOC, ABRA","FULL TRANSMISSION"
"BUDAPEST PE, EUROPE","NO TRANSMISSION"
"BUENAVISTA, AGUSAN DEL NORTE","FULL TRANSMISSION"
"BUENAVISTA, BOHOL","FULL TRANSMISSION"
"BUENAVISTA, GUIMARAS","FULL TRANSMISSION"
"BUENAVISTA, MARINDUQUE","FULL TRANSMISSION"
"BUENAVISTA, QUEZON","FULL TRANSMISSION"
"BUGALLON, PANGASINAN","FULL TRANSMISSION"
"BUGASONG, ANTIQUE","FULL TRANSMISSION"
"BUGUEY, CAGAYAN","FULL TRANSMISSION"
"BUGUIAS, BENGUET","PARTIAL TRANSMISSION"
"BUHI, CAMARINES SUR","FULL TRANSMISSION"
"BULA, CAMARINES SUR","FULL TRANSMISSION"
"BULACAN, BULACAN","FULL TRANSMISSION"
"BULALACAO  (SAN PEDRO), ORIENTAL MINDORO","FULL TRANSMISSION"
"BULAN, SORSOGON","FULL TRANSMISSION"
"BULDON, MAGUINDANAO","FULL TRANSMISSION"
"BULUAN, MAGUINDANAO","FULL TRANSMISSION"
"BULUSAN, SORSOGON","FULL TRANSMISSION"
"BUMBARAN, LANAO DEL SUR","FULL TRANSMISSION"
"BUNAWAN, AGUSAN DEL SUR","FULL TRANSMISSION"
"BURAUEN, LEYTE","FULL TRANSMISSION"
"BURDEOS, QUEZON","FULL TRANSMISSION"
"BURGOS, ILOCOS NORTE","FULL TRANSMISSION"
"BURGOS, ILOCOS SUR","FULL TRANSMISSION"
"BURGOS, ISABELA","PARTIAL TRANSMISSION"
"BURGOS, LA UNION","FULL TRANSMISSION"
"BURGOS, PANGASINAN","FULL TRANSMISSION"
"BURGOS, SURIGAO DEL NORTE","FULL TRANSMISSION"
"BURUANGA, AKLAN","FULL TRANSMISSION"
"BUSTOS, BULACAN","FULL TRANSMISSION"
"BUSUANGA, PALAWAN","FULL TRANSMISSION"
"BUTIG, LANAO DEL SUR","PARTIAL TRANSMISSION"
"BUTUAN CITY, AGUSAN DEL NORTE","FULL TRANSMISSION"
"BUUG, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"CABA, LA UNION","FULL TRANSMISSION"
"CABADBARAN CITY, AGUSAN DEL NORTE","PARTIAL TRANSMISSION"
"CABAGAN, ISABELA","FULL TRANSMISSION"
"CABANATUAN CITY, NUEVA ECIJA","FULL TRANSMISSION"
"CABANGAN, ZAMBALES","FULL TRANSMISSION"
"CABANGLASAN, BUKIDNON","FULL TRANSMISSION"
"CABARROGUIS, QUIRINO","FULL TRANSMISSION"
"CABATUAN, ILOILO","FULL TRANSMISSION"
"CABATUAN, ISABELA","FULL TRANSMISSION"
"CABIAO, NUEVA ECIJA","FULL TRANSMISSION"
"CABUCGAYAN, BILIRAN","FULL TRANSMISSION"
"CABUGAO, ILOCOS SUR","FULL TRANSMISSION"
"CABUSAO, CAMARINES SUR","FULL TRANSMISSION"
"CABUYAO, LAGUNA","PARTIAL TRANSMISSION"
"CADIZ CITY, NEGROS OCCIDENTAL","PARTIAL TRANSMISSION"
"CAGAYAN DE ORO CITY, MISAMIS ORIENTAL","FULL TRANSMISSION"
"CAGAYANCILLO, PALAWAN","PARTIAL TRANSMISSION"
"CAGDIANAO, DINAGAT ISLANDS","FULL TRANSMISSION"
"CAGWAIT, SURIGAO DEL SUR","FULL TRANSMISSION"
"CAIBIRAN, BILIRAN","FULL TRANSMISSION"
"CAINTA, RIZAL","FULL TRANSMISSION"
"CAJIDIOCAN, ROMBLON","FULL TRANSMISSION"
"CALABANGA, CAMARINES SUR","FULL TRANSMISSION"
"CALACA, BATANGAS","FULL TRANSMISSION"
"CALAMBA, MISAMIS OCCIDENTAL","PARTIAL TRANSMISSION"
"CALAMBA CITY, LAGUNA","PARTIAL TRANSMISSION"
"CALANASAN (BAYAG), APAYAO","FULL TRANSMISSION"
"CALANOGAS, LANAO DEL SUR","FULL TRANSMISSION"
"CALAPE, BOHOL","FULL TRANSMISSION"
"CALASIAO, PANGASINAN","FULL TRANSMISSION"
"CALATAGAN, BATANGAS","FULL TRANSMISSION"
"CALATRAVA, NEGROS OCCIDENTAL","PARTIAL TRANSMISSION"
"CALATRAVA, ROMBLON","FULL TRANSMISSION"
"CALAUAG, QUEZON","FULL TRANSMISSION"
"CALAUAN, LAGUNA","FULL TRANSMISSION"
"CALAYAN, CAGAYAN","FULL TRANSMISSION"
"CALBAYOG CITY, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"CALBIGA, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"CALINOG, ILOILO","FULL TRANSMISSION"
"CALINTAAN, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"CALOOCAN CITY, NATIONAL CAPITAL REGION - THIRD DISTRICT","PARTIAL TRANSMISSION"
"CALUBIAN, LEYTE","FULL TRANSMISSION"
"CALUMPIT, BULACAN","FULL TRANSMISSION"
"CALUYA, ANTIQUE","FULL TRANSMISSION"
"CAMALANIUGAN, CAGAYAN","FULL TRANSMISSION"
"CAMALIG, ALBAY","PARTIAL TRANSMISSION"
"CAMALIGAN, CAMARINES SUR","FULL TRANSMISSION"
"CAMILING, TARLAC","FULL TRANSMISSION"
"CAN-AVID, EASTERN SAMAR","FULL TRANSMISSION"
"CANADA, NORTH AND LATIN AMERICA","PARTIAL TRANSMISSION"
"CANAMAN, CAMARINES SUR","FULL TRANSMISSION"
"CANDABA, PAMPANGA","FULL TRANSMISSION"
"CANDELARIA, QUEZON","FULL TRANSMISSION"
"CANDELARIA, ZAMBALES","FULL TRANSMISSION"
"CANDIJAY, BOHOL","FULL TRANSMISSION"
"CANDON CITY, ILOCOS SUR","FULL TRANSMISSION"
"CANDONI, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"CANLAON CITY, NEGROS ORIENTAL","FULL TRANSMISSION"
"CANTILAN, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"CAOAYAN, ILOCOS SUR","FULL TRANSMISSION"
"CAPALONGA, CAMARINES NORTE","FULL TRANSMISSION"
"CAPAS, TARLAC","FULL TRANSMISSION"
"CAPOOCAN, LEYTE","FULL TRANSMISSION"
"CAPUL, NORTHERN SAMAR","FULL TRANSMISSION"
"CARAGA, DAVAO ORIENTAL","FULL TRANSMISSION"
"CARAMOAN, CAMARINES SUR","FULL TRANSMISSION"
"CARAMORAN, CATANDUANES","FULL TRANSMISSION"
"CARASI, ILOCOS NORTE","FULL TRANSMISSION"
"CARCAR CITY, CEBU","FULL TRANSMISSION"
"CARDONA, RIZAL","FULL TRANSMISSION"
"CARIGARA, LEYTE","FULL TRANSMISSION"
"CARLES, ILOILO","FULL TRANSMISSION"
"CARMEN, AGUSAN DEL NORTE","FULL TRANSMISSION"
"CARMEN, BOHOL","PARTIAL TRANSMISSION"
"CARMEN, CEBU","FULL TRANSMISSION"
"CARMEN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"CARMEN, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"CARMEN, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"CARMONA, CAVITE","FULL TRANSMISSION"
"CARRANGLAN, NUEVA ECIJA","FULL TRANSMISSION"
"CARRASCAL, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"CASIGURAN, AURORA","FULL TRANSMISSION"
"CASIGURAN, SORSOGON","PARTIAL TRANSMISSION"
"CASTILLA, SORSOGON","FULL TRANSMISSION"
"CASTILLEJOS, ZAMBALES","PARTIAL TRANSMISSION"
"CATAINGAN, MASBATE","PARTIAL TRANSMISSION"
"CATANAUAN, QUEZON","FULL TRANSMISSION"
"CATARMAN, CAMIGUIN","FULL TRANSMISSION"
"CATARMAN, NORTHERN SAMAR","FULL TRANSMISSION"
"CATBALOGAN CITY, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"CATEEL, DAVAO ORIENTAL","FULL TRANSMISSION"
"CATIGBIAN, BOHOL","FULL TRANSMISSION"
"CATMON, CEBU","FULL TRANSMISSION"
"CATUBIG, NORTHERN SAMAR","FULL TRANSMISSION"
"CAUAYAN, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"CAUAYAN CITY, ISABELA","FULL TRANSMISSION"
"CAVINTI, LAGUNA","FULL TRANSMISSION"
"CAVITE CITY, CAVITE","FULL TRANSMISSION"
"CAWAYAN, MASBATE","FULL TRANSMISSION"
"CEBU CITY, CEBU","PARTIAL TRANSMISSION"
"CERVANTES, ILOCOS SUR","FULL TRANSMISSION"
"CITY OF ANTIPOLO, RIZAL","FULL TRANSMISSION"
"CITY OF BIÑAN, LAGUNA","FULL TRANSMISSION"
"CITY OF CALAPAN, ORIENTAL MINDORO","FULL TRANSMISSION"
"CITY OF KIDAPAWAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"CITY OF LAS PIÑAS, NATIONAL CAPITAL REGION - FOURTH DISTRICT","FULL TRANSMISSION"
"CITY OF LIGAO, ALBAY","FULL TRANSMISSION"
"CITY OF MAKATI, NATIONAL CAPITAL REGION - FOURTH DISTRICT","PARTIAL TRANSMISSION"
"CITY OF MALAYBALAY, BUKIDNON","PARTIAL TRANSMISSION"
"CITY OF MANDALUYONG, NATIONAL CAPITAL REGION - SECOND DISTRICT","PARTIAL TRANSMISSION"
"CITY OF MARIKINA, NATIONAL CAPITAL REGION - SECOND DISTRICT","FULL TRANSMISSION"
"CITY OF MUNTINLUPA, NATIONAL CAPITAL REGION - FOURTH DISTRICT","FULL TRANSMISSION"
"CITY OF PARAÑAQUE, NATIONAL CAPITAL REGION - FOURTH DISTRICT","FULL TRANSMISSION"
"CITY OF PASIG, NATIONAL CAPITAL REGION - SECOND DISTRICT","PARTIAL TRANSMISSION"
"CITY OF PASSI, ILOILO","FULL TRANSMISSION"
"CITY OF SAN FERNANDO, LA UNION","FULL TRANSMISSION"
"CITY OF SANTIAGO, ISABELA","FULL TRANSMISSION"
"CITY OF TAGUM, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"CITY OF TARLAC, TARLAC","FULL TRANSMISSION"
"CITY OF VALENZUELA, NATIONAL CAPITAL REGION - THIRD DISTRICT","PARTIAL TRANSMISSION"
"CLARIN, BOHOL","FULL TRANSMISSION"
"CLARIN, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"CLAVER, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"CLAVERIA, CAGAYAN","FULL TRANSMISSION"
"CLAVERIA, MASBATE","PARTIAL TRANSMISSION"
"CLAVERIA, MISAMIS ORIENTAL","FULL TRANSMISSION"
"COLUMBIO, SULTAN KUDARAT","FULL TRANSMISSION"
"COMPOSTELA, CEBU","FULL TRANSMISSION"
"COMPOSTELA, COMPOSTELA VALLEY","FULL TRANSMISSION"
"CONCEPCION, ILOILO","PARTIAL TRANSMISSION"
"CONCEPCION, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"CONCEPCION, ROMBLON","FULL TRANSMISSION"
"CONCEPCION, TARLAC","FULL TRANSMISSION"
"CONNER, APAYAO","FULL TRANSMISSION"
"CONSOLACION, CEBU","FULL TRANSMISSION"
"CORCUERA, ROMBLON","FULL TRANSMISSION"
"CORDOBA, CEBU","FULL TRANSMISSION"
"CORDON, ISABELA","FULL TRANSMISSION"
"CORELLA, BOHOL","FULL TRANSMISSION"
"CORON, PALAWAN","FULL TRANSMISSION"
"CORTES, BOHOL","FULL TRANSMISSION"
"CORTES, SURIGAO DEL SUR","FULL TRANSMISSION"
"COTABATO CITY, MAGUINDANAO","PARTIAL TRANSMISSION"
"CUARTERO, CAPIZ","FULL TRANSMISSION"
"CUENCA, BATANGAS","FULL TRANSMISSION"
"CULABA, BILIRAN","FULL TRANSMISSION"
"CULASI, ANTIQUE","FULL TRANSMISSION"
"CULION, PALAWAN","FULL TRANSMISSION"
"CURRIMAO, ILOCOS NORTE","FULL TRANSMISSION"
"CUYAPO, NUEVA ECIJA","FULL TRANSMISSION"
"CUYO, PALAWAN","FULL TRANSMISSION"
"CZECH REPUBLIC, EUROPE","NO TRANSMISSION"
